Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2001-12-27,272.693302450786,273.401241156302,269.24204049760215,271.27740478515625,56775,0.04,0.0,0.0
2001-12-28,273.93189728291384,279.3742406516719,271.1443412310461,272.2062683105469,80370,0.0,0.0,0.0
2001-12-31,273.53373024743837,275.17086733243747,268.66657524684194,269.9054870605469,85245,0.0,0.0,0.0
2002-01-02,265.48104438012786,265.48104438012786,255.3927565918445,257.73785400390625,146850,0.0,0.0,0.0
2002-01-03,256.89701680481534,260.8349738794393,251.3661581898555,253.62274169921875,101070,0.0,0.0,0.0
2002-01-04,254.109438501263,262.6933104364282,250.39270230326645,258.578369140625,192465,0.0,0.0,0.0
2002-01-07,260.96772839438927,264.68444472795,255.3041211033452,260.6137390136719,74880,0.0,0.0,0.0
2002-01-08,257.2066143931956,259.020735692046,254.1535814818273,255.3040008544922,164070,0.0,0.0,0.0
2002-01-09,252.64919863528172,255.74648786111274,249.41918117407704,254.02085876464844,142860,0.0,0.0,0.0
2002-01-10,251.3219483735696,252.02990699507723,247.87070832566093,248.71139526367188,84450,0.0,0.0,0.0
2002-01-11,247.78230313326344,247.78230313326344,238.26922607421875,238.26922607421875,159885,0.0,0.0,0.0
2002-01-14,238.26914922145727,238.62311841517726,232.07458705841344,232.25157165527344,87390,0.0,0.0,0.0
2002-01-15,232.60541052872907,240.658326000415,232.60541052872907,238.09201049804688,209460,0.0,0.0,0.0
2002-01-16,233.40194857555895,234.50813248300943,229.64097595214847,229.64097595214844,175935,0.0,0.0,0.0
2002-01-17,231.4110993498713,233.26947984991293,226.27846026153932,229.28726196289062,145005,0.0,0.0,0.0
2002-01-18,232.29560002360947,233.40176279600846,229.86203382250417,230.26023864746094,43935,0.0,0.0,0.0
2002-01-22,231.8534764022768,234.9950051229668,226.76507568359375,226.76507568359375,116940,0.0,0.0,0.0
2002-01-23,230.2603289447656,239.46366434321743,228.31347927133197,238.49024963378906,179235,0.0,0.0,0.0
2002-01-24,241.1452032027789,250.30428788358705,239.8177984516711,250.17153930664062,145020,0.0,0.0,0.0
2002-01-25,250.74657961104683,259.0649919392602,250.74657961104683,255.3040008544922,153510,0.0,0.0,0.0
2002-01-28,256.5873199865142,256.63155600523265,247.38397983389697,248.44590759277344,105495,0.0,0.0,0.0
2002-01-29,247.11848132696318,247.78218358634214,241.49913012966513,244.86187744140625,90570,0.0,0.0,0.0
2002-01-30,242.09137743782037,253.1116291430675,239.4358960755784,250.54466247558594,154860,0.093333,0.0,0.0
2002-01-31,254.04080475615385,261.69745034342515,254.04080475615385,259.4402770996094,210615,0.0,0.0,0.0
2002-02-01,259.1748458302243,265.0611612236185,255.63421931098145,258.7765197753906,215355,0.0,0.0,0.0
2002-02-04,257.58163227169996,258.4667992732931,250.10203087438344,250.98719787597656,105720,0.0,0.0,0.0
2002-02-05,247.97759182472805,250.5888248744902,242.88792810122942,246.51708984375,209565,0.0,0.0,0.0
2002-02-06,246.78278538895614,253.77554893626584,246.78278538895614,250.72174072265625,110745,0.0,0.0,0.0
2002-02-07,247.49762603431466,249.09180956127818,242.27223205566406,242.27223205566406,103995,0.213333,0.0,0.0
2002-02-08,240.63409959434003,248.4279193756136,240.01414633207094,247.54225158691406,86235,0.0,0.0,0.0
2002-02-11,247.5423064301517,258.17024116448636,245.7709907314882,257.06317138671875,198600,0.0,0.0,0.0
2002-02-12,254.05164145304792,259.0556163286265,252.23603528536012,253.52023315429688,170235,0.0,0.0,0.0
2002-02-13,253.07748665841,258.30288493470124,248.95915724474352,255.51304626464844,218775,0.0,0.0,0.0
2002-02-14,257.24004360538044,261.93405287738454,255.82298840973246,258.16998291015625,106605,0.0,0.0,0.0
2002-02-15,262.37692167082105,263.4397183191627,257.55007467539434,259.7199401855469,77445,0.0,0.0,0.0
2002-02-19,256.80058858521784,259.9900995335013,251.61760794623726,257.9523620605469,185730,0.14,0.0,0.0
2002-02-20,255.8701106241481,258.66092539151555,252.81348659268878,255.07272338867188,141210,0.0,0.0,0.0
2002-02-21,259.14841067970923,267.6537863034721,258.6168323076297,264.198486328125,262575,0.0,0.0,0.0
2002-02-22,263.8130343797117,272.4517483518434,262.8827153924457,268.90765380859375,117945,0.02,0.0,0.0
2002-02-25,274.6671241088288,281.0021828591848,270.68002079247213,278.7428283691406,197550,0.0,0.0,0.0
2002-02-26,278.512058639768,278.7779998241747,273.23788986061106,277.75860595703125,242115,0.186667,0.0,0.0
2002-02-27,277.02713303704644,280.52875337878044,270.600110157035,273.5255126953125,269235,0.033333,0.0,0.0
2002-02-28,277.64773036575997,280.3071913457192,275.25421142578125,275.25421142578125,86370,0.0,0.0,0.0
2002-03-01,279.15510041755516,279.15510041755516,273.52589564496225,278.0469970703125,55050,0.0,0.0,0.0
2002-03-04,279.15491174642176,290.59060847496704,279.15491174642176,290.32464599609375,195330,0.0,0.0,0.0
2002-03-05,288.55153596982433,290.8564077200558,287.000176862541,288.5072021484375,142410,0.0,0.0,0.0
2002-03-06,285.4488539490411,293.3829040527344,280.9277575493817,293.3829040527344,202965,0.0,0.0,0.0
2002-03-07,297.01765034860233,303.93224904127067,294.18089295110195,295.6435852050781,170505,0.0,0.0,0.0
